Event,Category,Aspect,Measurement,Max. Score,Actual Score,
Shanghai friendly 2026,,Ratio of recommended deployment size to actual.,.  .2 <= [Cost Ratio] <= 1.0,,,
Shanghai friendly 2026,,Use of Caching,"Use of Application Cache, such as CloudFront",,,
Shanghai friendly 2026,,Recover more easily from both unintended user actions and application failures,S3 bucket versioning enabled,,,
Shanghai friendly 2026,,Convenient to troubleshoot network problems,VPC flow log enabled,,,
Shanghai friendly 2026,,Efficient way to categorize resources in different ways,EC2 instance tagged,,,
Shanghai friendly 2026,,Shorten system boot time,Use of self-baked AMI,,,
Shanghai friendly 2026,,CloudWatch Alarm to monitor instance status,CloudWatch alarm defined for appropriate metrics,,,
Shanghai friendly 2026,,Providing detailed insights into request latency and identifying performance bottlenecks,API Gateway active tracing by X-Ray,,,
Shanghai friendly 2026,,Enhances security by protecting applications from common web exploits and vulnerabilities,WAF configured,,,
Shanghai friendly 2026,,Assign resources least-privilege security policies and permissions,No security groups having ingress rule which source is 0.0.0.0/0,,,
Shanghai friendly 2026,,Database security,DynamoDB / RDS encryption enabled,,,
Shanghai friendly 2026,,Better isolation for computing instances,EC2/Database in private subnets. Bastion Hosts with limited access used.,,,
Shanghai friendly 2026,,Data encryption,S3 bucket encryption enabled,,,
Shanghai friendly 2026,,Data encryption in flight,TTPS used for all communications between services,,,
Shanghai friendly 2026,,Allows for detailed monitoring and troubleshooting of containerized applications,ECS Container Insight enabled,,,
Shanghai friendly 2026,,Better isolation and reduce blast radius,Multi subnets defined across AZs for each layer,,,
Shanghai friendly 2026,,Application able to serve public traffic across multiple local networks,Multiple subnets in application deployment,,,
Shanghai friendly 2026,,Efficiently distributing incoming network traffic,ALB used,,,
Shanghai friendly 2026,,Transaction timeout response rate per day,Total network request timeouts < 10%,,,
Shanghai friendly 2026,,Data Reliability,DynamoDB / RDS has regular backup configured,,,
Shanghai friendly 2026,,"Caching content closer to users, reducing latency and enhancing scalability",CloudFront configured,,,
Shanghai friendly 2026,,"Automating deployment, scaling, and management of containerized applications",Use ECS Service,,,
Shanghai friendly 2026,,Daily overall response time average,< 4s response time,,,
Shanghai friendly 2026,,Availability,Percentage of messages accepted for process >=90%,,,
Shanghai friendly 2026,,Identified infrastructure scales to meet demand.,Application auto-scales once competitors are hands off,,,
Shanghai friendly 2026,,Assign resources least-privilege security policies and permissions,All services are utilizing defined and recommended security policies,3.0,,
Shanghai friendly 2026,,ECR security configuration,"ECR image tag immutable, Image scanning, Encryption (3/3)",3.0,,
Shanghai friendly 2026,,Computing instances reliability and scalability,ASG used and has target tracing policy and scale based on alb requests,3.0,,
WorldSkills Lyon 2024 GameDay (Day1),Cost Optimization,Is Lifecycle Configuration set for S3,"Optimize storage costs, automate data management Requirement: Yes/No",0.5,,
WorldSkills Lyon 2024 GameDay (Day1),Cost Optimization,Does APIGateway has tag,"Tags in APIGateway facilitate efficient resource management, cost allocation Requirement: Yes/No",0.5,,
WorldSkills Lyon 2024 GameDay (Day1),Cost Optimization,Is AWS Batch used,Dynamically provisioning the optimal quantity and type of compute resources for batch job Requirement: Yes/No,1.0,,
WorldSkills Lyon 2024 GameDay (Day1),Cost Optimization,Cost Ratio rate of the solution,Ratio of recommended deployment:Full (2 marks) if .2 <= [CostRatio] <= 1.0Half (1 mark) if 1 < [CostRatio] <= 2.0Partial (0.5 mark) if 2 < [CostRatio] <= 3.0 Requirement: .2<=[CR]<=1.0,2.0,,
WorldSkills Lyon 2024 GameDay (Day2),Cost Optimization,Does ECS utilizes Fargate for running containers,"Seamless, scalable, and cost efficient container management solution Requirement: Yes/No",1.0,,
